#Iso		Abu		Error		rel. Error
# from Kadonis 25.5.2012
H   1(n,g)	2.5400e-1	2.0000e-2	7.9%
H   2(n,g)	3.0000e-3	2.0000e-4	6.7%
HE  3(n,g)	7.6000e-3	6.0000e-4	7.9%
LI  7(n,g)	4.2000e-2	3.0000e-3	7.1%
BE  9(n,g)	1.0200e-2	1.6000e-3	15.7%
C  12(n,g)	1.5400e-2	1.0000e-3	6.5%
C  13(n,g)	2.1000e-2	4.0000e-3	19.0%
C  14(n,g)	8.4800e-3	5.7000e-4	6.7%
N  14(n,g)	4.1000e-2	6.0000e-2	146.3%
N  15(n,g)	5.8000e-3	6.0000e-4	10.3%
O  16(n,g)	3.8000e-2	4.0000e-3	10.5%
O  18(n,g)	8.9000e-3	8.0000e-4	9.0%
F  19(n,g)	3.2000e+0	1.0000e-1	3.1%
NE 20(n,g)	1.1900e-1	1.1000e-2	9.2%
NE 21(n,g)	1.5000e+0	9.0000e-1	60.0%
NE 22(n,g)	5.8000e-2	4.0000e-3	6.9%
NA 23(n,g)	2.1000e+0	2.0000e-1	9.5%
MG 24(n,g)	3.3000e+0	4.0000e-1	12.1%
MG 25(n,g)	6.4000e+0	4.0000e-1	6.3%
MG 26(n,g)	1.2600e-1	9.0000e-3	7.1%
AL 26(n,g)	3.7000e+0	0.0000e+0	0.0%
AL 27(n,g)	3.7400e+0	3.0000e-1	8.0%
SI 28(n,g)	1.4200e+0	1.3000e-1	9.2%
SI 29(n,g)	6.5800e+0	6.6000e-1	10.0%
SI 30(n,g)	1.8200e+0	3.3000e-1	18.1%
P  31(n,g)	1.7400e+0	9.0000e-2	5.2%
S  32(n,g)	4.1000e+0	2.0000e-1	4.9%
S  33(n,g)	7.4000e+0	1.5000e+0	20.3%
S  34(n,g)	2.2600e-1	1.0000e-2	4.4%
S  36(n,g)	1.7100e-1	1.4000e-2	8.2%
CL 35(n,g)	9.7000e+0	2.1000e-1	2.2%
CL 36(n,g)	1.2000e+1	1.0000e+0	8.3%
CL 37(n,g)	2.1200e+0	7.0000e-2	3.3%
AR 36(n,g)	9.0000e+0	1.5000e+0	16.7%
AR 38(n,g)	3.0000e+0	3.0000e-1	10.0%
AR 39(n,g)	8.0000e+0	2.0000e+0	25.0%
AR 40(n,g)	2.5500e+0	1.0000e-1	3.9%
K  39(n,g)	1.1800e+1	4.0000e-1	3.4%
K  40(n,g)	3.1000e+1	7.0000e+0	22.6%
K  41(n,g)	2.2000e+1	7.0000e-1	3.2%
CA 40(n,g)	5.7300e+0	3.4000e-1	5.9%
CA 41(n,g)	3.0000e+1	7.0000e+0	23.3%
CA 42(n,g)	1.5600e+1	2.0000e+0	12.8%
CA 43(n,g)	5.1000e+1	6.0000e+0	11.8%
CA 44(n,g)	9.4000e+0	1.3000e+0	13.8%
CA 45(n,g)	1.7500e+1	3.5000e+0	20.0%
CA 46(n,g)	5.3000e+0	5.0000e-1	9.4%
CA 48(n,g)	8.7000e-1	9.0000e-2	10.3%
SC 45(n,g)	6.9000e+1	5.0000e+0	7.2%
TI 46(n,g)	2.6800e+1	3.2000e+0	11.9%
TI 47(n,g)	6.4400e+1	7.7000e+0	12.0%
TI 48(n,g)	3.1800e+1	5.1000e+0	16.0%
TI 49(n,g)	2.2100e+1	2.1000e+0	9.5%
TI 50(n,g)	3.6000e+0	4.0000e-1	11.1%
V  50(n,g)	5.0000e+1	9.0000e+0	18.0%
V  51(n,g)	3.8000e+1	4.0000e+0	10.5%
CR 50(n,g)	4.9000e+1	1.3000e+1	26.5%
CR 51(n,g)	8.7000e+1	1.6000e+1	18.4%
CR 52(n,g)	8.8000e+0	2.3000e+0	26.1%
CR 53(n,g)	5.8000e+1	1.0000e+1	17.2%
CR 54(n,g)	6.7000e+0	1.6000e+0	23.9%
MN 55(n,g)	3.9600e+1	3.0000e+0	7.6%
FE 54(n,g)	2.9600e+1	1.3000e+0	4.4%
FE 55(n,g)	7.5000e+1	1.2000e+1	16.0%
FE 56(n,g)	1.1700e+1	5.0000e-1	4.3%
FE 57(n,g)	4.0000e+1	4.0000e+0	10.0%
FE 58(n,g)	1.3500e+1	7.0000e-1	5.2%
FE 60(n,g)	5.1500e+0	1.4100e+0	27.4%
CO 59(n,g)	3.9600e+1	2.7000e+0	6.8%
NI 58(n,g)	3.8700e+1	1.5000e+0	3.9%
NI 59(n,g)	8.7000e+1	1.4000e+1	16.1%
NI 60(n,g)	2.9900e+1	7.0000e-1	2.3%
NI 61(n,g)	8.2000e+1	8.0000e+0	9.8%
NI 62(n,g)	2.2300e+1	1.6000e+0	7.2%
NI 63(n,g)	3.1000e+1	6.0000e+0	19.4%
NI 64(n,g)	8.0000e+0	7.0000e-1	8.8%
CU 63(n,g)	5.5700e+1	2.2000e+0	3.9%
CU 65(n,g)	2.9800e+1	1.3000e+0	4.4%
ZN 64(n,g)	5.9000e+1	5.0000e+0	8.5%
ZN 65(n,g)	1.6200e+2	2.7000e+1	16.7%
ZN 66(n,g)	3.5000e+1	3.0000e+0	8.6%
ZN 67(n,g)	1.5300e+2	1.5000e+1	9.8%
ZN 68(n,g)	1.9200e+1	2.4000e+0	12.5%
ZN 70(n,g)	2.1500e+1	2.0000e+0	9.3%
GA 69(n,g)	1.3900e+2	6.0000e+0	4.3%
GA 71(n,g)	1.2300e+2	8.0000e+0	6.5%
GE 70(n,g)	8.8000e+1	5.0000e+0	5.7%
GE 72(n,g)	7.3000e+1	7.0000e+0	9.6%
