  0 NEUT          0.0000000000E+00
  1 PROT          8.8128100000E-14
  1 H   2         1.0000000000E-99
  2 HE  3         1.0000000000E-99
  2 HE  4         4.1583200000E-01
  4 BE  7         0.0000000000E+00
  5 B   8         0.0000000000E+00
  3 LI  7         1.0000000000E-99
  6 C  11         0.0000000000E+00
  5 B  11         2.8558900000E-09
  6 C  12         2.9800700000E-01
  6 C  13         3.2360100000E-02
  7 N  13         1.3999400000E-14
  7 N  14         1.0092400000E-02
  6 C  14         9.3454800000E-07
  7 N  15         2.2231600000E-07
  8 O  16         1.7960000000E-01
  8 O  17         2.0927000000E-05
  8 O  18         2.1715100000E-07
  9 F  17         0.0000000000E+00
  9 F  18         2.0122300000E-19
  9 F  19         9.5756400000E-05
 10 NE 20         2.4700000000E-03
 10 NE 21         2.0521700000E-05
 10 NE 22         5.0164900000E-02
 11 NA 22         0.0000000000E+00
 11 NA 23         7.7085500000E-04
 12 MG 23         0.0000000000E+00
 12 MG 24         9.8523100000E-04
 12 MG 25         1.8557100000E-03
 12 MG 26         4.5437700000E-03
 13 AL 26         4.6183400000E-07
 13 AL 27         1.1672800000E-04
 14 SI 27         0.0000000000E+00
 14 SI 28         7.2289300000E-04
 14 SI 29         6.1950900000E-05
 14 SI 30         1.0917000000E-04
 15 P  31         2.0242000000E-05
 16 S  31         0.0000000000E+00
  4 BE  8         0.0000000000E+00
  8 O  14         0.0000000000E+00
  8 O  15         0.0000000000E+00
 11 NA 21         0.0000000000E+00
 13 AL 25         0.0000000000E+00
 15 P  29         0.0000000000E+00
 15 P  30         0.0000000000E+00
 82 PB206         2.4156100000E-08
 82 PB207         1.7827700000E-08
 83 BI211         0.0000000000E+00
 84 PO210         0.0000000000E+00
  9 F  20         0.0000000000E+00
 10 NE 19         0.0000000000E+00
 11 NA 24         0.0000000000E+00
 12 MG 27         0.0000000000E+00
 12 MG 28         0.0000000000E+00
 13 AL 28         0.0000000000E+00
 13 AL 29         0.0000000000E+00
 14 SI 31         0.0000000000E+00
 14 SI 32         0.0000000000E+00
 15 P  32         0.0000000000E+00
 15 P  33         0.0000000000E+00
 15 P  34         0.0000000000E+00
 15 P  35         0.0000000000E+00
 16 S  32         3.2514700000E-04
 16 S  33         8.4216100000E-06
 16 S  34         3.2931700000E-05
 16 S  35         1.5408400000E-13
 16 S  36         2.6451500000E-06
 16 S  37         0.0000000000E+00
 16 S  38         0.0000000000E+00
 17 CL 34         0.0000000000E+00
 17 CL 35         4.1310400000E-06
 17 CL 36         3.4486300000E-07
 17 CL 37         2.3111300000E-05
 17 CL 38         0.0000000000E+00
 17 CL 39         0.0000000000E+00
 17 CL 40         0.0000000000E+00
 18 AR 35         0.0000000000E+00
 18 AR 36         4.9023000000E-05
 18 AR 37         5.1532400000E-11
 18 AR 38         2.8178500000E-05
 18 AR 39         1.3917100000E-09
 18 AR 40         6.9200000000E-07
 18 AR 41         0.0000000000E+00
 18 AR 42         0.0000000000E+00
 18 AR 43         0.0000000000E+00
 18 AR 44         0.0000000000E+00
 19 K  38         0.0000000000E+00
 19 K  39         5.5097300000E-06
 19 K  40         6.2387000000E-07
 19 K  41         1.3830800000E-06
 19 K  42         0.0000000000E+00
 19 K  43         0.0000000000E+00
 19 K  44         0.0000000000E+00
 19 K  45         0.0000000000E+00
 19 K  46         0.0000000000E+00
 20 CA 39         0.0000000000E+00
 20 CA 40         5.0794900000E-05
 20 CA 41         1.4534300000E-06
 20 CA 42         2.9413700000E-06
 20 CA 43         6.7722100000E-07
 20 CA 44         2.6411400000E-06
 20 CA 45         3.5284100000E-13
 20 CA 46         7.4048800000E-08
 20 CA 47         1.7545400000E-16
 20 CA 48         1.5797000000E-07
 20 CA 49         0.0000000000E+00
 21 SC 43         0.0000000000E+00
 21 SC 44         1.0000000000E-99
 21 SC 45         4.0268000000E-07
 21 SC 46         3.8120000000E-13
 21 SC 47         1.3101600000E-16
 21 SC 48         0.0000000000E+00
 21 SC 49         0.0000000000E+00
 21 SC 50         0.0000000000E+00
 22 TI 44         3.8062100000E-24
 22 TI 45         1.0000000000E-99
 22 TI 46         5.5184700000E-07
 22 TI 47         2.2945800000E-07
 22 TI 48         1.1190600000E-06
 22 TI 49         1.3721100000E-06
 22 TI 50         1.9035500000E-06
 22 TI 51         0.0000000000E+00
 22 TI 52         0.0000000000E+00
 23 V  47         0.0000000000E+00
 23 V  48         0.0000000000E+00
 23 V  49         2.0379900000E-27
 23 V  50         1.6311700000E-10
 23 V  51         3.2180700000E-07
 23 V  52         0.0000000000E+00
 23 V  53         0.0000000000E+00
 24 CR 48         0.0000000000E+00
 24 CR 49         0.0000000000E+00
 24 CR 50         1.2977600000E-07
 24 CR 51         1.9961700000E-12
 24 CR 52         1.1510800000E-05
 24 CR 53         1.4711900000E-06
 24 CR 54         5.2691500000E-06
 24 CR 55         0.0000000000E+00
 24 CR 56         0.0000000000E+00
 25 MN 51         0.0000000000E+00
 25 MN 52         0.0000000000E+00
 25 MN 53         1.6138800000E-16
 25 MN 54         4.0710100000E-20
 25 MN 55         1.5099200000E-05
 25 MN 56         8.9604000000E-15
 25 MN 57         0.0000000000E+00
 26 FE 52         0.0000000000E+00
 26 FE 53         0.0000000000E+00
 26 FE 54         2.0722300000E-05
 26 FE 55         6.3914600000E-09
 26 FE 56         8.0756500000E-04
 26 FE 57         1.6026300000E-04
 26 FE 58         2.5961000000E-04
 26 FE 59         2.2145100000E-11
 26 FE 60         5.1875900000E-06
 26 FE 61         0.0000000000E+00
 27 CO 55         0.0000000000E+00
 27 CO 56         1.2449100000E-19
 27 CO 57         1.7806900000E-23
 27 CO 58         3.2410200000E-19
 27 CO 59         6.5513200000E-05
 27 CO 60         6.9645100000E-10
 27 CO 61         0.0000000000E+00
 27 CO 62         0.0000000000E+00
 27 CO 63         0.0000000000E+00
 28 NI 56         0.0000000000E+00
 28 NI 57         0.0000000000E+00
 28 NI 58         1.3741800000E-05
 28 NI 59         4.6856900000E-06
 28 NI 60         6.3729100000E-05
 28 NI 61         2.3875100000E-05
 28 NI 62         4.7131600000E-05
 28 NI 63         1.0870000000E-08
 28 NI 64         2.4218800000E-05
 28 NI 65         0.0000000000E+00
 28 NI 66         0.0000000000E+00
 28 NI 67         0.0000000000E+00
 28 NI 68         0.0000000000E+00
 29 CU 60         0.0000000000E+00
 29 CU 61         0.0000000000E+00
 29 CU 62         0.0000000000E+00
 29 CU 63         2.4123300000E-05
 29 CU 64         2.4047100000E-13
 29 CU 65         1.0398100000E-05
 29 CU 66         0.0000000000E+00
 29 CU 67         0.0000000000E+00
 29 CU 68         0.0000000000E+00
 29 CU 69         0.0000000000E+00
 29 CU 70         0.0000000000E+00
 29 CU 71         0.0000000000E+00
 30 ZN 62         0.0000000000E+00
 30 ZN 63         0.0000000000E+00
 30 ZN 64         5.5846300000E-06
 30 ZN 65         4.8568900000E-11
 30 ZN 66         8.7775100000E-06
 30 ZN 67         1.8314300000E-06
 30 ZN 68         7.7923600000E-06
 30 ZN 69         1.8530600000E-15
 30 ZN 70         1.2022600000E-08
 30 ZN 71         0.0000000000E+00
 30 ZN 72         0.0000000000E+00
 30 ZN 73         0.0000000000E+00
 30 ZN 74         0.0000000000E+00
 31 GA 65         0.0000000000E+00
 31 GA 66         0.0000000000E+00
 31 GA 67         0.0000000000E+00
 31 GA 68         0.0000000000E+00
 31 GA 69         1.0323100000E-06
 31 GA 70         3.4642300000E-16
 31 GA 71         6.8729400000E-07
 31 GA 72         0.0000000000E+00
 31 GA 73         0.0000000000E+00
 31 GA 74         0.0000000000E+00
 31 GA 75         0.0000000000E+00
 32 GE 66         0.0000000000E+00
 32 GE 67         0.0000000000E+00
 32 GE 68         0.0000000000E+00
 32 GE 69         0.0000000000E+00
 32 GE 70         1.3813200000E-06
 32 GE 71         7.5073800000E-13
 32 GE 72         1.2071600000E-06
 32 GE 73         3.3977800000E-07
 32 GE 74         1.5520000000E-06
 32 GE 75         6.4101600000E-16
 32 GE 76         1.0982100000E-08
 32 GE 77         0.0000000000E+00
 32 GE 78         0.0000000000E+00
 33 AS 69         0.0000000000E+00
 33 AS 70         0.0000000000E+00
 33 AS 71         0.0000000000E+00
 33 AS 72         0.0000000000E+00
 33 AS 73         0.0000000000E+00
 33 AS 74         0.0000000000E+00
 33 AS 75         1.5158200000E-07
 33 AS 76         0.0000000000E+00
 33 AS 77         0.0000000000E+00
 33 AS 78         0.0000000000E+00
 33 AS 79         0.0000000000E+00
 33 AS 80         0.0000000000E+00
 33 AS 81         0.0000000000E+00
 34 SE 72         0.0000000000E+00
 34 SE 73         0.0000000000E+00
 34 SE 74         1.4254800000E-11
 34 SE 75         0.0000000000E+00
 34 SE 76         3.1417000000E-07
 34 SE 77         1.1930100000E-07
 34 SE 78         6.3492300000E-07
 34 SE 79         8.0439300000E-08
 34 SE 80         4.7017500000E-07
 34 SE 81         4.7828900000E-17
 34 SE 82         8.1022500000E-09
 34 SE 83         0.0000000000E+00
 34 SE 84         0.0000000000E+00
 35 BR 74         0.0000000000E+00
 35 BR 75         0.0000000000E+00
 35 BR 76         0.0000000000E+00
 35 BR 77         0.0000000000E+00
 35 BR 78         0.0000000000E+00
 35 BR 79         4.4247900000E-08
 35 BR 80         6.4827300000E-17
 35 BR 81         7.7335600000E-08
 35 BR 82         0.0000000000E+00
 35 BR 83         0.0000000000E+00
 35 BR 84         0.0000000000E+00
 35 BR 85         0.0000000000E+00
 35 BR 86         0.0000000000E+00
 35 BR 87         0.0000000000E+00
 36 KR 76         0.0000000000E+00
 36 KR 77         0.0000000000E+00
 36 KR 78         4.0279000000E-12
 36 KR 79         3.0285500000E-19
 36 KR 80         1.5816500000E-08
 36 KR 81         5.7685900000E-09
 36 KR 82         2.1685700000E-07
 36 KR 83         7.8799200000E-08
 36 KR 84         4.6976400000E-07
 36 KR 85         9.3521200000E-12
 36 KR 86         1.5677600000E-07
 36 KR 87         0.0000000000E+00
 36 KR 88         0.0000000000E+00
 36 KR 89         0.0000000000E+00
 36 KR 90         0.0000000000E+00
 37 RB 79         0.0000000000E+00
 37 RB 80         0.0000000000E+00
 37 RB 81         0.0000000000E+00
 37 RB 82         0.0000000000E+00
 37 RB 83         0.0000000000E+00
 37 RB 84         0.0000000000E+00
 37 RB 85         1.2021400000E-07
 37 RB 86         6.6924400000E-14
 37 RB 87         8.0667500000E-08
 37 RB 88         0.0000000000E+00
 37 RB 89         0.0000000000E+00
 37 RB 90         0.0000000000E+00
 37 RB 91         0.0000000000E+00
 38 SR 80         0.0000000000E+00
 38 SR 81         0.0000000000E+00
 38 SR 82         0.0000000000E+00
 38 SR 83         0.0000000000E+00
 38 SR 84         2.5561200000E-12
 38 SR 85         1.8639300000E-17
 38 SR 86         1.2071800000E-07
 38 SR 87         7.2101400000E-08
 38 SR 88         8.9155500000E-07
 38 SR 89         3.7084300000E-14
 38 SR 90         2.0852000000E-18
 38 SR 91         0.0000000000E+00
 38 SR 92         0.0000000000E+00
 38 SR 93         0.0000000000E+00
 38 SR 94         0.0000000000E+00
 39 Y  85         0.0000000000E+00
 39 Y  86         0.0000000000E+00
 39 Y  87         0.0000000000E+00
 39 Y  88         0.0000000000E+00
 39 Y  89         2.4324500000E-07
 39 Y  90         2.9427300000E-15
 39 Y  91         0.0000000000E+00
 39 Y  92         0.0000000000E+00
 39 Y  93         0.0000000000E+00
 39 Y  94         0.0000000000E+00
 39 Y  95         0.0000000000E+00
 39 Y  96         0.0000000000E+00
 40 ZR 86         0.0000000000E+00
 40 ZR 87         0.0000000000E+00
 40 ZR 88         0.0000000000E+00
 40 ZR 89         0.0000000000E+00
 40 ZR 90         2.2045900000E-07
 40 ZR 91         6.4962300000E-08
 40 ZR 92         1.2755000000E-07
 40 ZR 93         3.5916000000E-08
 40 ZR 94         9.7377200000E-08
 40 ZR 95         4.2562200000E-14
 40 ZR 96         2.5250500000E-08
 40 ZR 97         0.0000000000E+00
 40 ZR 98         0.0000000000E+00
 41 NB 89         0.0000000000E+00
 41 NB 90         0.0000000000E+00
 41 NB 91         0.0000000000E+00
 41 NB 92         0.0000000000E+00
 41 NB 93         3.5186200000E-10
 41 NB 94         2.9280800000E-14
 41 NB 95         2.3230200000E-14
 41 NB 96         0.0000000000E+00
 41 NB 97         0.0000000000E+00
 41 NB 98         0.0000000000E+00
 41 NB 99         0.0000000000E+00
 42 MO 90         0.0000000000E+00
 42 MO 91         0.0000000000E+00
 42 MO 92         1.0665500000E-10
 42 MO 93         4.2701400000E-12
 42 MO 94         4.7556600000E-10
 42 MO 95         1.5255700000E-08
 42 MO 96         2.6799600000E-08
 42 MO 97         9.0159600000E-09
 42 MO 98         3.0696900000E-08
 42 MO 99         1.6845700000E-15
 42 MO100         2.4310100000E-09
 42 MO101         0.0000000000E+00
 42 MO102         0.0000000000E+00
 43 TC 93         0.0000000000E+00
 43 TC 94         0.0000000000E+00
 43 TC 95         0.0000000000E+00
 43 TC 96         0.0000000000E+00
 43 TC 97         0.0000000000E+00
 43 TC 98         0.0000000000E+00
 43 TC 99         3.7963200000E-09
 43 TC100         0.0000000000E+00
 43 TC101         0.0000000000E+00
 43 TC102         0.0000000000E+00
 43 TC103         0.0000000000E+00
 43 TC104         0.0000000000E+00
 43 TC105         0.0000000000E+00
 44 RU 94         0.0000000000E+00
 44 RU 95         0.0000000000E+00
 44 RU 96         5.4194400000E-12
 44 RU 97         7.9401900000E-19
 44 RU 98         1.0270900000E-11
 44 RU 99         3.8090600000E-10
 44 RU100         1.4564000000E-08
 44 RU101         3.3885600000E-09
 44 RU102         2.1288900000E-08
 44 RU103         1.0299100000E-15
 44 RU104         1.7993300000E-09
 44 RU105         0.0000000000E+00
 44 RU106         0.0000000000E+00
 45 RH 98         0.0000000000E+00
 45 RH 99         0.0000000000E+00
 45 RH100         0.0000000000E+00
 45 RH101         0.0000000000E+00
 45 RH102         0.0000000000E+00
 45 RH103         3.8469500000E-09
 45 RH104         0.0000000000E+00
 45 RH105         0.0000000000E+00
 45 RH106         0.0000000000E+00
 45 RH107         0.0000000000E+00
 45 RH108         0.0000000000E+00
 46 PD 99         0.0000000000E+00
 46 PD100         0.0000000000E+00
 46 PD101         0.0000000000E+00
 46 PD102         3.3181200000E-13
 46 PD103         4.9124600000E-19
 46 PD104         1.0974800000E-08
 46 PD105         3.0668400000E-09
 46 PD106         1.3660700000E-08
 46 PD107         2.7212100000E-09
 46 PD108         1.7142800000E-08
