H initial abundance iniab1.0E-02.ppn_asplund05
  Z   species  mass fraction   
  1   h   1    0.1             
  1   h   2    1.4137614154e-05
  2   he  3    4.3360824681e-05
  2   he  4    0.26121364153   
  3   li  6    3.0664163766e-12
  3   li  7    4.3562924989e-11
  4   be  9    1.2957995712e-10
  5   b  10    5.9620961093e-10
  5   b  11    2.6531026874e-09
  6   c  12    0.5             
  6   c  13    2.1217784569e-05
  7   n  14    0.00050446334667
  7   n  15    1.9871172808e-06
  8   o  16    0.134856341855  
  8   o  17    1.7349508807e-06
  8   o  18    9.8783560012e-06
  9   f  19    4.1404631464e-07
  10  ne 20    0.00077186699666
  10  ne 21    1.9428076447e-06
  10  ne 22    6.2430862173e-05
  11  na 23    2.0418468219e-05
  12  mg 24    0.00038555796027
  12  mg 25    5.0858740397e-05
  12  mg 26    5.8191388143e-05
  13  al 27    3.7989107156e-05
  14  si 28    0.00050156134186
  14  si 29    2.6377420091e-05
  14  si 30    1.7987703309e-05
  15  p  31    4.2624276097e-06
  16  s  32    0.00025191335137
  16  s  33    2.0505507661e-06
  16  s  34    1.1873310315e-05
  16  s  36    5.0704528036e-08
  17  cl 35    5.0334572655e-06
  17  cl 37    1.7015022842e-06
  18  ar 36    2.7665623634e-05
  18  ar 38    5.3095515788e-06
  18  ar 40    8.9390305369e-09
  19  k  39    2.6244997705e-06
  19  k  40    3.3684194766e-10
  19  k  41    1.991170457e-07 
  20  ca 40    4.7518509433e-05
  20  ca 42    3.3300357314e-07
  20  ca 43    7.1137327668e-08
  20  ca 44    1.1247663192e-06
  20  ca 46    2.254826579e-09 
  20  ca 48    1.0999632268e-07
  21  sc 45    3.0304549776e-08
  22  ti 46    1.8090661927e-07
  22  ti 47    1.6664449128e-07
  22  ti 48    1.6870264293e-06
  22  ti 49    1.2635964116e-07
  22  ti 50    1.2359875254e-07
  23  v  50    7.4934854631e-10
  23  v  51    3.0533719321e-07
  24  cr 50    5.6921337678e-07
  24  cr 52    1.1415324589e-05
  24  cr 53    1.3192351845e-06
  24  cr 54    3.3455315793e-07
  25  mn 55    8.1032271259e-06
  26  fe 54    5.3391681399e-05
  26  fe 56    0.0008691772606 
  26  fe 57    2.0431541534e-05
  26  fe 58    2.7667659632e-06
  27  co 59    2.9454206962e-06
  28  ni 58    4.0246033763e-05
  28  ni 60    1.6037276019e-05
  28  ni 61    7.0874810566e-07
  28  ni 62    2.2968449833e-06
  28  ni 64    6.0380769355e-07
  29  cu 63    4.2420790916e-07
  29  cu 65    1.9504097225e-07
  30  zn 64    7.4366880787e-07
  30  zn 66    4.3999066382e-07
  30  zn 67    6.5637794803e-08
  30  zn 68    3.0465303376e-07
  30  zn 70    1.0370150326e-08
  31  ga 69    1.8883216324e-08
  31  ga 71    1.2895570801e-08
  32  ge 70    3.3917604793e-08
  32  ge 72    4.544764625e-08 
  32  ge 73    1.2854840217e-08
  32  ge 74    6.0693385751e-08
  32  ge 76    1.2909674112e-08
  33  as 75    8.7772119525e-09
  34  se 74    8.441678404e-10 
  34  se 76    9.1340433448e-09
  34  se 77    7.5438855156e-09
  34  se 78    2.3793352938e-08
  34  se 80    5.0924675838e-08
  34  se 82    9.1869882952e-09
  35  br 79    8.7259040463e-09
  35  br 81    8.7046351409e-09
  36  kr 78    3.22922641e-10  
  36  kr 80    2.1317743407e-09
  36  kr 82    1.0925343496e-08
  36  kr 83    1.0963655964e-08
  36  kr 84    5.4662170808e-08
  36  kr 86    1.6926791473e-08
  37  rb 85    1.4656938695e-08
  37  rb 87    5.7862815217e-09
  38  sr 84    2.3278009219e-10
  38  sr 86    4.2146713671e-09
  38  sr 87    3.2040570891e-09
  38  sr 88    3.613426135e-08 
  39  y  89    8.6633394039e-09
  40  zr 90    1.0812847872e-08
  40  zr 91    2.3847654862e-09
  40  zr 92    3.6833752806e-09
  40  zr 94    3.8148103141e-09
  40  zr 96    6.2743602982e-10
  41  nb 93    1.4681765089e-09
  42  mo 92    6.8140580492e-10
  42  mo 94    4.3391558287e-10
  42  mo 95    7.5503088855e-10
  42  mo 96    7.9918628928e-10
  42  mo 97    4.6270297654e-10
  42  mo 98    1.1806764789e-09
  42  mo100    4.8092729283e-10
  44  ru 96    2.2091900419e-10
  44  ru 98    7.604737428e-11 
  44  ru 99    5.2445678792e-10
  44  ru100    5.2313546446e-10
  44  ru101    7.1547707537e-10
  44  ru102    1.3363524402e-09
  44  ru104    8.041399931e-10 
  45  rh103    8.1495297062e-10
  46  pd102    3.0584097251e-11
  46  pd104    3.4057585266e-10
